ID,Symbole,Direction,Entree,SL,TP,Score,Timeframe,Validation,Raison validation,Statut,Raison rejet,Prix resultat,PnL%,PnL,Capital avant,Capital apres,RR,Classe actif,Parametres,Ouvert,Ferme
eb227e95,AUDUSD,BUY,0.69332,0.6919202834075309,0.6964304813165981,63,1h,,,loss,,,-0.2654,,,,,,"{'adx_min': 23, 'asset_class': 'forex', 'leverage': None, 'min_adx': 18, 'min_cond': 4, 'min_rr': 1.6, 'min_score': 62, 'pullback_pct': 0.025, 'sl': 0.6919202834075309, 'sl_factor': 0.9, 'style': 'swing', 'tp': 0.6964304813165981, 'tp_factor': 1.0}",2026-07-08 00:44,2026-07-08 09:23
783262dd,GBPUSD,BUY,1.33534,1.3326553472278375,1.3413058950492498,77,1h,,,win,,,0.483,,,,,,"{'adx_min': 25, 'asset_class': 'forex', 'leverage': None, 'min_adx': 18, 'min_cond': 4, 'min_rr': 1.6, 'min_score': 62, 'pullback_pct': 0.025, 'sl': 1.3326553472278375, 'sl_factor': 0.9, 'style': 'swing', 'tp': 1.3413058950492498, 'tp_factor': 1.0}",2026-07-08 00:44,2026-07-09 06:23
9839782d,GBPUSD,BUY,1.33921,1.3375035030010347,1.343002215553256,67,1h,,,loss,,,-0.2136,,,,,,"{'adx_min': 25, 'asset_class': 'forex', 'leverage': None, 'min_adx': 18, 'min_cond': 4, 'min_rr': 1.6, 'min_score': 62, 'pullback_pct': 0.025, 'sl': 1.3375035030010347, 'sl_factor': 0.9, 'style': 'swing', 'tp': 1.343002215553256, 'tp_factor': 1.0}",2026-07-07 11:24,2026-07-07 14:08
ed34ef68,BTCUSD,BUY,64125.0,63086.933171827404,66035.04296383758,62,1h,,,loss,,,-1.6975,,,,,,"{'adx_min': 23, 'asset_class': 'crypto', 'leverage': None, 'min_adx': 15, 'min_cond': 4, 'min_rr': 1.5, 'min_score': 58, 'pullback_pct': 0.07, 'sl': 63086.933171827404, 'sl_factor': 1.25, 'style': 'swing', 'tp': 66035.04296383758, 'tp_factor': 1.15}",2026-07-06 22:47,2026-07-07 04:53
e7bcedda,XAUUSD,BUY,4177.13332,4168.522676115479,4193.605856126909,94,1h,,,win,,,0.5243,,,,,,"{'adx_min': 25, 'asset_class': 'metal', 'leverage': None, 'min_adx': 16, 'min_cond': 4, 'min_rr': 1.55, 'min_score': 60, 'pullback_pct': 0.045, 'sl': 4168.522676115479, 'sl_factor': 1.15, 'style': 'swing', 'tp': 4193.605856126909, 'tp_factor': 1.1}",2026-07-06 00:26,2026-07-06 01:38
81dd3626,AAPL,BUY,308.22,303.23576808554986,318.1884638289003,60,1h,,,pending,,,,,,,,,,2026-07-03 18:59,
7d2ec3d5,XAUUSD,SELL,4175.00662,4194.681591484634,4135.656677030733,62,1h,,,loss,,,-0.4827,,,,,,,2026-07-03 18:58,2026-07-05 23:38
6c95bfcd,EURUSD,BUY,1.14274,1.1402289775097971,1.1470130260011195,77,1h,,,loss,,,-0.2529,,,,,,,2026-07-02 19:51,2026-07-08 11:53
d9285b00,XAUUSD,BUY,4116.29854,4079.731478276944,4189.432663446111,60,1h,,,win,,,1.821,,,,,,,2026-07-02 17:53,2026-07-02 23:30
af6a8a70,USDJPY,SELL,161.38389,161.75052617166057,160.6506176566789,80,1h,,,loss,,,-0.2411,,,,,,,2026-07-02 09:13,2026-07-06 01:53
78b76bd0,BTCUSD,BUY,61259.01,60415.1181128196,62946.79377436082,64,1h,,,win,,,3.0001,,,,,,,2026-07-02 09:13,2026-07-04 17:38
07accbe2,BTCUSD,BUY,58847.05,58132.80146225084,60275.547075498325,60,1h,,,win,,,2.8187,,,,,,,2026-07-01 07:05,2026-07-01 19:30
b95938cb,USDJPY,BUY,162.67485,162.4969181500241,163.03071369995178,72,1h,,,loss,,,-0.144,,,,,,,2026-07-01 07:05,2026-07-01 12:00
a386f552,XAUUSD,SELL,3974.15687,3998.8048031596827,3924.8610036806344,62,1h,,,loss,,,-1.2177,,,,,,,2026-07-01 07:04,2026-07-01 09:30
73aef27e,USDJPY,BUY,162.33494,162.15640831151782,162.69200337696432,82,1h,,,win,,,0.2786,,,,,,,2026-06-30 08:27,2026-07-01 01:00
